[16:36:29.824] 1356705,26.10,20.21,20.93,25.88,-2.47,6.24,3.80
[16:36:29.927] 1356807,26.25,183.94,21.07,26.02,-1.29,10.24,1.88
[16:36:30.030] 1356910,26.25,183.94,21.07,26.02,-2.47,11.49,0.31
[16:36:30.131] 1357011,25.99,20.21,20.98,25.97,-1.49,14.83,3.37
[16:36:30.234] 1357114,26.04,19.95,20.98,25.97,-0.94,9.30,-0.67
[16:36:30.336] 1357216,26.04,19.95,21.13,26.10,-1.69,9.02,3.92
[16:36:30.438] 1357318,26.09,19.83,21.19,26.27,-0.59,9.53,3.73
[16:36:30.541] 1357420,26.09,19.83,21.19,26.27,-1.77,11.38,2.39
[16:36:30.643] 1357523,26.09,19.83,21.19,26.27,-2.16,11.26,3.53
[16:36:30.746] 1357625,25.89,19.62,21.46,26.27,-2.47,9.53,9.57
[16:36:30.848] 1357728,25.89,19.62,21.46,26.55,-2.28,9.06,2.04
[16:36:30.950] 1357830,25.86,19.43,21.69,26.74,-3.02,6.59,4.28
[16:36:31.053] 1357933,25.70,19.29,21.69,26.74,-1.84,11.26,3.02
[16:36:31.155] 1358034,25.70,19.29,21.82,26.87,-3.14,11.49,2.43
[16:36:31.257] 1358137,25.52,19.10,22.01,27.04,-1.10,11.26,8.08
[16:36:31.360] 1358239,25.52,19.10,22.01,27.04,-2.24,7.92,-0.27
[16:36:31.462] 1358341,25.35,18.96,22.23,27.15,-1.26,9.81,5.41
[16:36:31.563] 1358444,25.18,18.76,22.44,27.15,-1.53,8.32,3.06
[16:36:31.666] 1358546,25.18,18.76,22.44,27.33,-3.96,12.98,4.24
[16:36:31.768] 1358648,25.00,18.51,22.54,27.48,-1.49,11.14,5.69
[16:36:31.870] 1358750,25.00,18.51,22.54,27.48,-2.55,9.06,1.26
[16:36:31.973] 1358853,25.00,18.51,22.54,27.48,-0.98,7.53,4.28
[16:36:32.076] 1358956,24.66,18.13,22.97,27.84,-1.22,10.47,2.31
[16:36:32.178] 1359058,24.66,18.13,22.97,27.84,-2.71,11.38,0.59
[16:36:32.280] 1359160,24.48,17.97,23.24,27.99,-0.90,14.32,5.14
[16:36:32.382] 1359263,24.28,17.66,23.24,27.99,-0.63,8.75,2.79
[16:36:32.485] 1359365,24.28,17.66,23.44,28.23,-1.53,8.83,5.22
[16:36:32.587] 1359467,24.11,17.45,23.63,28.41,-1.69,8.94,4.63
[16:36:32.690] 1359570,24.11,17.45,23.63,28.41,-3.18,12.43,2.75
[16:36:32.792] 1359672,23.90,17.20,23.87,28.62,-1.80,12.28,7.10
[16:36:32.894] 1359774,23.84,17.03,24.05,28.62,-2.63,8.98,4.24
[16:36:32.997] 1359877,23.84,17.03,24.05,28.82,-1.45,6.98,4.63
[16:36:33.098] 1359979,23.62,16.84,24.27,28.92,-1.18,10.43,3.26
[16:36:33.201] 1360081,23.44,16.84,24.27,28.92,-2.59,11.18,1.61
[16:36:33.303] 1360183,23.44,16.70,24.51,29.10,-1.33,14.79,2.51
[16:36:33.405] 1360286,23.31,16.58,24.69,29.23,-1.53,8.87,0.98
[16:36:33.508] 1360388,23.31,16.58,24.69,29.23,-2.04,9.92,5.10
[16:36:33.610] 1360490,23.16,16.41,24.92,29.44,-1.45,7.73,4.71
[16:36:33.713] 1360593,22.94,16.28,25.11,29.44,-3.22,11.53,4.16
[16:36:33.815] 1360695,22.94,16.28,25.11,29.53,-2.16,12.87,-2.51
[16:36:33.917] 1360797,22.77,16.38,25.18,29.65,-3.45,10.63,0.67
[16:36:34.019] 1360899,22.77,16.38,25.18,29.65,-2.51,7.02,8.20
[16:36:34.122] 1361002,22.77,16.38,25.18,29.65,-1.29,8.63,2.55
[16:36:34.224] 1361104,22.45,15.78,25.18,29.73,-2.24,11.34,1.57
[16:36:34.326] 1361206,22.45,15.78,25.18,29.73,-3.06,13.34,-1.73
[16:36:34.428] 1361308,22.30,15.83,25.53,29.87,-1.96,7.85,6.32
[16:36:34.529] 1361409,22.20,15.74,25.53,29.87,-1.29,9.92,3.30
[16:36:34.631] 1361511,22.20,15.74,25.57,29.86,-0.90,8.08,4.16
[16:36:34.733] 1361613,22.20,15.80,25.75,29.87,-0.90,10.36,0.08
[16:36:34.835] 1361715,22.20,15.80,25.75,29.87,-2.35,13.02,6.55
[16:36:34.937] 1361817,22.20,15.72,25.84,29.90,-1.53,10.75,2.86
[16:36:35.040] 1361919,21.77,15.74,25.91,29.90,-2.79,11.34,0.90
[16:36:35.142] 1362022,21.77,15.74,25.91,29.90,-1.18,8.59,4.20
[16:36:35.243] 1362123,21.77,15.74,25.99,29.89,-0.67,9.73,1.06
[16:36:35.346] 1362226,21.77,15.74,25.99,29.89,-2.51,12.00,2.71
[16:36:35.447] 1362327,21.77,15.74,25.99,29.89,-1.77,11.53,0.08
[16:36:35.548] 1362429,21.29,15.74,26.16,29.82,-1.45,8.59,7.26
[16:36:35.651] 1362531,21.29,15.74,26.16,29.82,-1.02,12.00,4.94
[16:36:35.752] 1362632,21.17,15.74,26.22,29.78,-1.69,8.16,7.26
[16:36:35.854] 1362734,20.91,15.74,26.22,29.78,-1.92,11.77,1.33
[16:36:35.956] 1362836,20.91,15.74,26.45,29.75,-2.75,10.83,4.63
[16:36:36.058] 1362938,20.80,15.74,26.57,29.66,-2.59,9.81,7.77
[16:36:36.160] 1363040,20.80,15.74,26.57,29.66,-1.77,9.38,2.75
[16:36:36.262] 1363142,20.59,16.06,26.60,29.64,-2.24,7.45,3.73
[16:36:36.365] 1363245,20.40,16.15,26.60,29.64,-1.88,11.06,1.69
[16:36:36.467] 1363348,20.40,16.15,26.60,29.57,-2.47,11.92,2.67
[16:36:36.569] 1363449,20.32,16.15,26.60,29.47,-1.06,9.92,10.12
[16:36:36.672] 1363552,20.13,16.15,26.60,29.47,-2.16,9.81,4.59
[16:36:36.774] 1363654,20.13,16.27,26.83,29.40,-1.88,8.12,5.41
[16:36:36.877] 1363756,19.95,16.39,26.89,29.31,-1.73,10.75,1.45
[16:36:36.979] 1363859,19.95,16.39,26.89,29.31,-2.98,12.24,5.06
[16:36:37.081] 1363961,19.89,16.34,26.94,29.29,-1.29,9.38,9.06
[16:36:37.182] 1364062,19.77,16.44,26.94,29.29,-1.84,8.63,0.12
[16:36:37.284] 1364164,19.77,16.44,26.95,29.14,-1.96,7.26,3.96
[16:36:37.386] 1364266,19.67,16.56,27.13,29.11,-2.00,10.67,2.31
[16:36:37.488] 1364368,19.67,16.56,27.13,29.11,-3.10,12.51,0.90
[16:36:37.590] 1364470,19.67,16.56,27.13,29.11,-1.18,12.51,10.04
[16:36:37.694] 1364573,19.49,16.70,27.23,28.91,-2.00,11.18,1.14
[16:36:37.795] 1364676,19.49,16.70,27.23,28.91,-2.12,7.92,5.45
[16:36:37.897] 1364777,19.32,16.83,27.37,28.87,-2.31,10.04,2.47
[16:36:38.000] 1364880,19.12,16.96,27.37,28.87,-2.75,11.73,2.39
[16:36:38.103] 1364982,19.12,16.96,27.40,28.82,-2.82,9.41,6.35
[16:36:38.204] 1365084,19.14,16.96,27.46,28.76,-2.24,8.59,1.80
[16:36:38.307] 1365186,19.14,16.96,27.46,28.76,-2.35,6.32,1.84
[16:36:38.408] 1365288,19.14,16.96,27.62,28.66,-2.35,10.79,1.80
[16:36:38.510] 1365390,18.85,17.33,27.66,28.66,-3.22,12.04,0.27
[16:36:38.613] 1365493,18.85,17.33,27.66,28.58,-1.80,10.59,8.98
[16:36:38.714] 1365595,18.85,17.41,27.60,28.51,-1.88,9.92,0.24
[16:36:38.817] 1365697,18.65,17.41,27.60,28.51,-1.73,7.34,3.96
[16:36:38.919] 1365799,18.65,17.57,27.71,28.39,-2.71,10.63,1.45
[16:36:39.022] 1365902,18.53,17.73,27.77,28.35,-3.80,11.92,3.73
[16:36:39.124] 1366004,18.53,17.73,27.77,28.35,-1.80,9.77,6.32
[16:36:39.226] 1366106,18.35,17.85,27.89,28.24,-2.00,8.28,0.63
[16:36:39.329] 1366209,18.23,18.01,27.89,28.24,-1.88,6.59,3.02
[16:36:39.431] 1366311,18.23,18.01,27.96,28.17,-2.51,10.40,0.86
[16:36:39.533] 1366413,18.01,18.10,27.99,28.10,-3.26,12.08,0.67
[16:36:39.636] 1366516,17.99,18.10,27.99,28.10,-0.67,12.00,12.12
[16:36:39.738] 1366618,17.99,18.27,28.08,27.98,-1.45,10.87,-2.82
[16:36:39.840] 1366720,18.00,18.44,28.14,27.98,-1.84,7.41,5.73
[16:36:39.943] 1366823,18.00,18.44,28.14,27.87,-2.12,8.94,1.29
[16:36:40.044] 1366925,17.81,18.65,28.22,27.78,-3.73,11.65,4.71
[16:36:40.145] 1367026,17.72,18.76,28.22,27.78,-3.02,11.14,5.84
[16:36:40.248] 1367127,17.72,18.76,28.23,27.79,-2.79,9.26,1.37
[16:36:40.350] 1367230,17.52,18.90,28.33,27.65,-1.73,6.67,3.22
[16:36:40.453] 1367332,17.52,18.90,28.33,27.65,-1.84,10.90,1.18
[16:36:40.555] 1367434,17.64,19.01,28.44,27.58,-3.69,10.79,0.98
[16:36:40.657] 1367537,17.46,19.18,28.53,27.58,-2.39,13.93,-0.63
[16:36:40.759] 1367639,17.46,19.18,28.53,27.55,-2.35,8.59,-1.33
[16:36:40.861] 1367741,17.40,19.40,28.56,27.46,-2.51,7.61,4.94
[16:36:40.963] 1367843,17.40,19.40,28.56,27.46,-2.24,7.73,4.04
[16:36:41.066] 1367946,17.40,19.40,28.56,27.46,-2.94,13.22,1.53
[16:36:41.168] 1368048,17.78,19.69,28.77,27.28,-2.71,14.04,-3.45
[16:36:41.271] 1368151,17.78,19.69,28.77,27.28,-4.00,9.57,0.63
[16:36:41.373] 1368253,17.88,19.85,28.71,27.20,-2.00,8.39,4.28
[16:36:41.474] 1368354,17.41,20.04,28.71,27.20,-1.84,8.59,1.45
[16:36:41.576] 1368456,17.41,20.04,28.79,27.12,-2.47,10.47,1.18
[16:36:41.678] 1368558,17.52,20.16,28.78,27.02,-2.82,11.22,0.47
[16:36:41.780] 1368660,17.52,20.16,28.78,27.02,-1.61,8.32,10.83
[16:36:41.883] 1368762,17.51,20.26,28.64,26.87,-2.28,9.18,-0.24
[16:36:41.985] 1368865,17.50,20.42,28.68,26.87,-2.51,7.77,3.92
[16:36:42.088] 1368968,17.50,20.42,28.68,26.81,-2.31,9.73,1.88
[16:36:42.189] 1369069,17.75,20.50,28.83,26.67,-2.98,10.20,3.69
[16:36:42.292] 1369172,17.81,20.50,28.83,26.67,-3.53,10.00,3.84
[16:36:42.394] 1369274,17.81,20.67,28.67,26.55,-2.31,9.30,4.08
[16:36:42.497] 1369376,17.84,20.71,28.93,26.41,-2.16,6.24,0.04
[16:36:42.599] 1369479,17.84,20.71,28.93,26.41,-3.45,10.63,0.12
[16:36:42.701] 1369581,17.89,20.85,28.91,26.33,-3.26,12.75,2.16
[16:36:42.802] 1369682,18.07,21.02,28.91,26.33,-0.59,12.12,6.51
[16:36:42.904] 1369784,18.07,21.02,28.69,26.13,-2.90,10.87,0.24
[16:36:43.006] 1369886,18.24,21.21,28.59,25.91,-2.04,8.12,3.84
[16:36:43.109] 1369989,18.46,21.21,28.59,25.91,-2.24,7.69,2.67
[16:36:43.210] 1370090,18.46,21.45,28.25,25.69,-3.96,12.79,2.28
[16:36:43.314] 1370193,18.54,21.56,28.06,25.51,-2.51,13.57,-1.61
[16:36:43.416] 1370296,18.54,21.56,28.06,25.51,-3.37,9.69,0.59
[16:36:43.518] 1370397,18.74,21.82,27.94,25.29,-1.49,6.63,3.92
[16:36:43.620] 1370500,19.00,21.92,27.94,25.29,-1.22,9.49,0.39
[16:36:43.722] 1370602,19.00,21.92,27.97,25.12,-3.10,10.71,0.51
[16:36:43.825] 1370704,19.14,22.02,27.81,24.94,-2.16,13.73,-3.53
[16:36:43.927] 1370807,19.14,22.02,27.81,24.94,-1.61,6.32,0.59
[16:36:44.029] 1370909,19.40,22.23,27.58,24.66,-2.00,8.00,2.82
[16:36:44.132] 1371012,19.55,22.43,27.38,24.66,-1.45,9.61,6.32
[16:36:44.234] 1371114,19.55,22.43,27.38,24.46,-3.10,11.73,-0.24
[16:36:44.336] 1371216,19.76,22.57,27.33,24.25,-3.06,13.42,-3.84
[16:36:44.438] 1371318,19.76,22.57,27.33,24.25,-3.92,10.08,-1.37
[16:36:44.539] 1371419,19.76,22.57,27.33,24.25,-1.18,7.57,4.28
[16:36:44.642] 1371521,20.13,22.93,26.94,23.84,-1.53,8.47,0.00
[16:36:44.744] 1371624,20.13,22.93,26.94,23.84,-3.02,10.71,0.78
[16:36:44.848] 1371727,20.30,23.06,26.81,23.67,-2.43,12.55,-1.22
[16:36:44.950] 1371830,20.55,23.28,26.74,23.67,-0.86,7.88,3.41
[16:36:45.052] 1371932,20.55,23.28,26.74,23.44,-1.49,8.47,5.06
[16:36:45.155] 1372034,20.76,23.40,26.55,23.23,-1.88,9.34,5.06
[16:36:45.257] 1372137,20.92,23.40,26.55,23.23,-2.35,11.10,4.43
[16:36:45.359] 1372239,20.92,23.59,26.37,23.00,-2.71,9.85,3.22
[16:36:45.461] 1372341,21.09,23.76,26.25,23.00,-2.28,10.90,8.00
