timestamp,b2d,b3d,b4d,b1d,
13:30:43.0,10.81665383,10.81665383,10.81665383,10.81665383,2,3,0,0,0,6,4,6,4,0
13:30:56.0,12.72792206,12.72792206,9.486832981,9.486832981,3,3,0,0,0,6,4,6,4,0
13:31:01.0,10.81665383,15,12.36931688,6.708203932,3,2,0,0,0,6,4,6,4,0
13:31:06.0,8.485281374,13.41640786,13.41640786,8.485281374,2,2,0,0,0,6,4,6,4,0
13:31:11.0,6.708203932,12.36931688,15,10.81665383,1,2,0,0,0,6,4,6,4,0
13:31:16.0,9.486832981,9.486832981,12.72792206,12.72792206,1,3,0,0,0,6,4,6,4,0
13:31:21.0,12.36931688,6.708203932,10.81665383,15,1,4,0,0,0,6,4,6,4,0
13:31:26.0,13.41640786,8.485281374,8.485281374,13.41640786,2,4,0,0,0,6,4,6,4,0
13:31:31.0,15,10.81665383,6.708203932,12.36931688,3,4,0,0,0,6,4,6,4,0
13:31:37.0,12.72792206,12.72792206,9.486832981,9.486832981,3,3,0,0,0,6,4,6,4,0
13:31:42.0,10.81665383,15,12.36931688,6.708203932,3,2,0,0,0,6,4,6,4,0
13:31:47.0,8.485281374,13.41640786,13.41640786,8.485281374,2,2,0,0,0,6,4,6,4,0
13:31:52.0,6.708203932,12.36931688,15,10.81665383,1,2,0,0,0,6,4,6,4,0
13:31:57.0,9.486832981,9.486832981,12.72792206,12.72792206,1,3,0,0,0,6,4,6,4,0
13:32:02.0,10.81665383,10.81665383,10.81665383,10.81665383,2,3,0,0,0,6,4,6,4,0
