realtimestamp,wearable_timestamp,d1,d2,d3,d4,ax,ay,az
11:23:13.654,354539,1005,1290,5040,4425,639,-866,125
11:23:13.654,355407,1005,1425,4890,5700,639,-866,125
11:23:14.851,356841,1005,1185,5925,5145,639,-866,125
11:23:15.752,357716,1005,1170,4455,5310,639,-866,125
11:23:16.601,358564,1005,1185,4485,5400,639,-866,125
11:23:17.502,359462,1005,1185,4485,5520,639,-866,125
11:23:18.351,360347,1005,1185,4545,5295,639,-866,125
11:23:19.302,361279,1005,1155,12180,5475,639,-866,125
11:23:20.151,362137,1005,1155,4875,4305,639,-866,125
11:23:21.052,363011,915,1230,4290,4650,129,-725,-145
11:23:21.902,363860,915,1125,4230,4485,129,-725,-145
11:23:22.752,364726,915,1170,4380,4305,129,-725,-145
11:23:23.651,365648,915,1140,4275,4305,129,-725,-145
11:23:24.551,366513,915,1125,4200,4260,129,-725,-145
11:23:25.501,367462,915,1125,4185,4230,129,-725,-145
11:23:26.351,368348,915,1140,4200,4275,129,-725,-145
11:23:27.252,369210,915,1125,4215,4335,129,-725,-145
11:23:29.102,371093,915,1110,5295,4245,129,-725,-145
11:23:30.001,371974,915,1155,4200,4230,129,-725,-145
11:23:30.901,372864,960,1140,4215,4230,-1023,-27,184
11:23:31.801,373762,960,1140,4200,4230,-1023,-27,184
11:23:32.701,374674,960,1140,4215,4260,-1023,-27,184
11:23:33.551,375523,960,1155,4185,4215,-1023,-27,184
11:23:34.352,376315,945,1140,4155,4215,-976,-105,113
11:23:35.251,377234,945,1155,4185,4245,-976,-105,113
11:23:36.151,378102,945,1170,4185,4200,-976,-105,113
11:23:36.952,378922,945,1140,4200,4245,-1004,-19,149
11:23:37.802,379756,945,1155,4200,4230,-1000,-50,137
11:23:38.651,380642,945,1170,4245,4215,-1000,-50,137
11:23:39.551,381502,945,1140,4215,4245,-1000,-50,137
11:23:40.401,382378,945,1170,4080,4125,-1000,-50,137
11:23:41.251,383225,975,1185,3975,4125,-815,98,105
11:23:42.101,384093,975,1230,4035,3960,-815,98,105
11:23:43.051,385035,975,1215,3810,3810,-815,98,105
11:23:43.851,385821,1065,1350,3645,3750,-815,47,-23
11:23:44.701,386679,1065,1530,3615,3630,-815,47,-23
11:23:45.551,387544,1065,2205,3420,3465,-815,47,-23
11:23:46.451,388402,1065,1680,3345,3300,-815,47,-23
11:23:47.351,389328,1065,1860,3255,3255,-815,47,-23
11:23:48.201,390177,1065,1620,3120,3165,-815,47,-23
11:23:49.051,391044,4290,1725,3045,3090,-800,-152,31
11:23:49.851,391828,2085,1965,2925,2970,-490,7,-129
11:23:50.701,392682,2085,1965,2835,2835,-490,7,-129
11:23:51.601,393596,2085,2430,2730,2820,-490,7,-129
