timestamp,wearabletimestamp,b1d,b2d,b3d,b4d,xa,ya,za,ta
1900-01-01 13:32:41.042,320667,6.51,13.309999999999999,12.229999999999999,17.84,-0.27,4.35,9.89,11.295463691234637
1900-01-01 13:32:41.145,320770,6.511925012567668,13.309999999999999,12.229999999999999,17.84,-1.33,5.3,10.12,11.154967503314387
1900-01-01 13:32:41.248,320873,6.514367323559094,13.304285145985633,12.218570291971268,17.796186119223194,-0.47,5.96,10.63,11.312090876579804
1900-01-01 13:32:41.349,320975,6.5165723430752465,13.297128521778696,12.204257043557392,17.699693712521036,0.86,7.02,8.12,8.625682581685925
1900-01-01 13:32:41.451,321077,6.518287007078745,13.2905714703259,12.191142940651803,17.557487916757715,1.22,6.9,11.18,11.61424986815765
1900-01-01 13:32:41.553,321179,6.4966407431987045,13.25272801547307,12.168974821655254,17.379459121239055,1.96,7.18,13.85,14.231250823451887
1900-01-01 13:32:41.654,321280,6.5036662795820845,13.190911851395446,12.134325100255568,17.174437543304943,3.18,7.26,8.9,9.786419161266291
1900-01-01 13:32:41.756,321382,6.5242227651425875,13.125817716013653,12.086931037065089,16.95006748289716,3.3,7.49,6.94,8.024319285771224
1900-01-01 13:32:41.858,321484,6.504832639893161,13.055651470159619,12.028301890967976,16.71329624779295,2.86,8.36,6.94,7.643088381014576
1900-01-01 13:32:41.961,321586,6.4677308513146885,12.993884944799328,11.960994991704153,16.50837737427513,1.14,6.55,-0.39,3.4661506026137996
1900-01-01 13:32:42.063,321688,6.438622436875364,12.971533924322223,11.901567945035806,16.333909002287832,1.96,10.79,-1.41,2.6095593497753593
1900-01-01 13:32:42.165,321791,6.439401046910267,12.931777139848705,11.830753308432522,16.20482707808067,2.0,12.91,2.08,4.242463906740987
1900-01-01 13:32:42.268,321894,6.455112785024143,12.890638013533291,11.765775597408732,16.116627712985878,4.71,8.98,-1.02,4.888445560707412
1900-01-01 13:32:42.370,321995,6.492779499986715,12.855844178127235,11.699538153146769,16.031495526693238,-2.75,11.85,1.65,3.8062448686336503
1900-01-01 13:32:42.472,322098,6.596219353622656,12.83017274347476,11.643494343700196,15.964100432817364,-0.75,6.47,0.2,3.4192689277095485
1900-01-01 13:32:42.575,322200,6.71820877101132,12.80566385087497,11.597092352773473,15.892732508979533,-2.35,10.55,0.39,2.4974186673443444
1900-01-01 13:32:42.677,322302,6.898044621713694,12.782940823749168,11.557240469157625,15.808186795069533,-1.1,12.4,-3.33,4.365650008876112
1900-01-01 13:32:42.779,322405,7.081593416358045,12.765096001884626,11.527842149873345,15.730769666634043,1.65,14.0,2.39,5.106329405747341
1900-01-01 13:32:42.881,322507,7.237254963924769,12.76398896579419,11.525181768883876,15.645410307172067,1.49,10.08,0.51,1.5995624401691857
1900-01-01 13:32:42.982,322608,7.371498392840621,12.742056383640376,11.53788707292011,15.569079705661679,0.2,6.83,-0.43,3.0076236466685793
1900-01-01 13:32:43.084,322710,7.471603498315091,12.71304708224359,11.526229771672835,15.489925032525974,0.16,8.94,0.12,0.8829496021857657
1900-01-01 13:32:43.186,322812,7.55315515903078,12.686201544015498,11.479161747404447,15.38483976391916,-0.31,11.3,-1.88,2.4249742266671617
1900-01-01 13:32:43.290,322915,7.631576973801339,12.664321116934405,11.420638987071804,15.281957921888667,-1.84,12.55,-0.78,3.399485255152609
1900-01-01 13:32:43.391,323016,7.693512280326052,12.618129096908845,11.351545650707568,15.161959898283783,-0.08,6.86,-1.84,3.4692362271831536
1900-01-01 13:32:43.494,323119,7.7382587774802305,12.539282277588319,11.264489003936346,15.022375947805354,0.55,10.98,1.57,2.0395587758140237
1900-01-01 13:32:43.596,323222,7.765189615181479,12.45485903755622,11.180623850764666,14.893305991846118,-0.47,6.86,-0.31,2.9934261307070873
1900-01-01 13:32:43.698,323323,7.810250096335134,12.363696863890008,11.08208385993451,14.762001066244062,-0.9,11.06,-2.08,2.5930676813380713
1900-01-01 13:32:43.801,323426,7.891435977209706,12.282412502611429,10.990734489334196,14.64968300248638,-0.78,12.79,-3.88,4.960131046655924
1900-01-01 13:32:43.903,323528,7.978852275676327,12.218522850653718,10.917006727464033,14.525256008167291,-0.94,5.65,-3.14,5.288260583594572
1900-01-01 13:32:44.005,323630,8.088520648481824,12.170732179135417,10.845204333883789,14.389074388444948,1.92,7.22,-1.18,3.425667818104961
1900-01-01 13:32:44.108,323733,8.193822400506944,12.139603988926979,10.786333317647822,14.268221340417979,1.29,8.39,-0.67,2.025117280554388
1900-01-01 13:32:44.210,323835,8.29434837549224,12.126348385752262,10.729983257514908,14.149130366344949,-0.2,11.77,-0.55,2.0550912388504785
1900-01-01 13:32:44.312,323938,8.418651871643606,12.141674598356996,10.670494413003007,14.050188914273205,-0.51,14.79,-1.45,5.2213695521385945
1900-01-01 13:32:44.413,324039,8.536573219289526,12.171044611953166,10.6194902134362,13.93684002228195,0.2,5.45,-2.71,5.128996003117959
1900-01-01 13:32:44.515,324140,8.652488969244756,12.1763032538632,10.559379559622437,13.78554691778558,0.55,11.96,-0.71,2.3392733914615453
1900-01-01 13:32:44.617,324243,8.766926643058053,12.169249686840143,10.504504258549401,13.638306228369121,0.94,6.12,-0.55,3.8377727916071325
1900-01-01 13:32:44.719,324344,8.862695245824014,12.129999848625708,10.489738884095875,13.49678393744049,-0.98,10.36,-1.88,2.192806421004827
1900-01-01 13:32:44.821,324446,8.933415326861564,12.079453223795538,10.498823413465757,13.380335178549824,0.39,12.55,-2.24,3.5682208451832125
