timestamp,x,y,x1,y1,x2,y2,x3,y3,x4,y4
13:32:41.145,-0.7328833333333344,5.32561111111111,-0.06290416666666587,5.772263888888889,-0.06290416666666587,4.8789583333333315,-1.4028625000000012,5.772263888888889,-1.4028625000000048,4.878958333333331
13:32:41.248,-3.4282395833333332,3.54854861111111,-0.027666666666666135,5.815597222222221,-0.027666666666666135,1.2814999999999988,-6.8288125,5.815597222222221,-6.8288125,1.2814999999999988
13:32:41.349,-3.4282395833333332,3.54854861111111,-0.027666666666666135,5.815597222222221,-0.027666666666666135,1.2814999999999988,-6.8288125,5.815597222222221,-6.8288125,1.2814999999999988
13:32:41.451,-3.4282395833333332,3.54854861111111,-0.027666666666666135,5.815597222222221,-0.027666666666666135,1.2814999999999988,-6.8288125,5.815597222222221,-6.8288125,1.2814999999999988
13:32:41.553,2.1146083333333334,4.641247222222222,0.12074999999999983,3.3120083333333326,0.12074999999999983,5.970486111111111,4.108466666666668,3.3120083333333326,4.108466666666667,5.970486111111111
13:32:41.654,2.2364000000000006,4.653266666666665,0.3643333333333345,3.4052222222222213,0.3643333333333345,5.901311111111109,4.108466666666667,3.4052222222222213,4.108466666666667,5.90131111111111
13:32:41.756,0.4463645833333324,6.0003125,0.3643333333333345,5.945625000000001,0.3643333333333345,6.054999999999997,0.5283958333333297,5.945625000000001,0.528395833333331,6.054999999999998
13:32:41.858,0.4168062499999981,6.082093055555555,0.2923124999999989,5.999097222222223,0.2923124999999989,6.165088888888889,0.5412999999999972,5.999097222222223,0.5412999999999972,6.165088888888889
13:32:41.961,0.4168062499999981,6.082093055555555,0.2923124999999989,5.999097222222223,0.2923124999999989,6.165088888888889,0.5412999999999972,5.999097222222223,0.5412999999999972,6.165088888888889
13:32:42.063,0.44168333333333243,6.206544444444444,0.16185416666666677,6.019991666666668,0.16185416666666677,6.393097222222222,0.7215124999999981,6.019991666666668,0.7215124999999981,6.393097222222221
13:32:42.165,0.5457562500000004,6.189704166666665,0.5268125000000007,6.1770749999999985,0.5268125000000007,6.202333333333332,0.5647000000000008,6.1770749999999985,0.5646999999999995,6.202333333333332
