timestamp,playerid,wearabletimestamp,b1d,b2d,b3d,b4d,xa,ya,za,ta,pos_x,pos_y,confidence
1900-01-01 21:50:26.465,a,254051,23.191928255522722,20.16224785436416,15.242509054115347,19.708124483258878,6.39,2.66,9.49,13.485985318099676,16.85370545340889,15.998224920600283,0.8421193315659097
1900-01-01 21:50:26.515,a,254051,23.207568894638758,20.12344048850482,15.246712769787225,19.725689857123147,6.39,2.66,9.49,13.485985318099676,16.878562604181422,15.982091638813188,0.8489939193028007
1900-01-01 21:50:26.565,a,254153,23.229128509631114,20.08424119793956,15.244385512874596,19.74660548431278,5.64,1.17,8.11,13.117110962403268,16.908822345887586,15.969157957156977,0.8556681553364511
1900-01-01 21:50:26.615,a,254153,23.252300787036898,20.048057800038055,15.238388285602772,19.7675320387807,5.64,1.17,8.11,13.117110962403268,16.93964909145118,15.959244289858814,0.8616941532825393
1900-01-01 21:50:26.666,a,254255,23.283493241516997,20.01270122558879,15.230576483825654,19.790567817644604,7.33,2.43,8.08,13.165568730594208,16.974642523503583,15.953037288891025,0.8675951573169619
1900-01-01 21:50:26.715,a,254255,23.31672930811699,19.980953926334383,15.222136544742515,19.812737756016002,7.33,2.43,8.08,13.165568730594208,17.0090808556061,15.949711741817623,0.8726803827392159
1900-01-01 21:50:26.766,a,254357,23.348423785288066,19.954205919084213,15.212810523996128,19.832397368798567,8.35,0.23,8.78,15.44007124335895,17.04053084277971,15.948887526125343,0.8767179182535275
1900-01-01 21:50:26.816,a,254357,23.376568736668744,19.932952736086037,15.20354630612279,19.848762940277787,8.35,0.23,8.78,15.44007124335895,17.0674819782063,15.949857588885928,0.8797089887092708
1900-01-01 21:50:26.867,a,254459,23.40018832897304,19.912132777379433,15.185918459557886,19.875587298616328,7.41,-0.62,7.96,15.061410956480804,17.098280776062676,15.947380891538277,0.8799675264485068
1900-01-01 21:50:26.917,a,254459,23.418972959777847,19.893857044468394,15.164767037040464,19.90593318344248,7.41,-0.62,7.96,15.061410956480804,17.128386437291187,15.943360966976314,0.8786886546918402
1900-01-01 21:50:26.968,a,254561,23.43303313842449,19.880131348669938,15.14311503343902,19.935628505601976,7.76,3.02,9.13,13.767458007925793,17.15490218313183,15.939333148614132,0.8762603017067505
1900-01-01 21:50:27.018,a,254561,23.442733586946304,19.870760971498367,15.12277678335549,19.962316725988916,7.76,3.02,9.13,13.767458007925793,17.176745016303293,15.935762966022086,0.8732047684492394
1900-01-01 21:50:27.069,a,254663,23.44558358854938,19.865306708590808,15.102766702395959,19.982824213383513,6.15,1.17,10.04,14.597979312219893,17.192201051021417,15.932869404903233,0.870354129059816
1900-01-01 21:50:27.119,a,254663,23.443665279363692,19.863203816187198,15.084575088035953,19.997738787281875,6.15,1.17,10.04,14.597979312219893,17.202123056665606,15.930723204117545,0.8675662850643822
1900-01-01 21:50:27.170,a,254765,23.441524798493766,19.87782976451261,15.06998076484409,20.012751593723337,5.64,1.8,10.39,14.274512250861674,17.205251522916022,15.933839050783023,0.8601063385081718
1900-01-01 21:50:27.220,a,254765,23.438818770341932,19.90153780651103,15.058796749791458,20.026083528587936,5.64,1.8,10.39,14.274512250861674,17.203516378287425,15.939864312912551,0.8506779302126074
1900-01-01 21:50:27.271,a,254867,23.43547159111248,19.929283935119873,15.050721989677173,20.03686696736405,4.78,2.03,9.88,13.447516499339201,17.198403972025307,15.947251134105745,0.8409370188088519
1900-01-01 21:50:27.320,a,254867,23.431560961490202,19.95778930538464,15.045392650843285,20.044810192930303,4.78,2.03,9.88,13.447516499339201,17.191073787338496,15.95499170585122,0.8318176052045926
1900-01-01 21:50:27.371,a,254969,23.430240971983828,19.9999663208803,15.051410606494349,20.042979332064867,5.09,3.64,8.66,11.783433285761836,17.17363761697885,15.969736022283133,0.8221282012258093
