timestamp,wearabletimestamp,b1d,b2d,b3d,b4d,xa,ya,za,ta
1900-01-01 13:32:41.042,320667,7.31,14.11,13.03,18.64,-0.27,4.35,9.89,11.295463691234637
1900-01-01 13:32:41.145,320770,7.311925012567668,14.11,13.03,18.64,-1.33,5.3,10.12,11.154967503314387
1900-01-01 13:32:41.248,320873,7.314367323559095,14.104285145985635,13.018570291971269,18.596186119223194,-0.47,5.96,10.63,11.312090876579804
1900-01-01 13:32:41.349,320975,7.316572343075246,14.097128521778696,13.004257043557391,18.499693712521037,0.86,7.02,8.12,8.625682581685925
1900-01-01 13:32:41.451,321077,7.3182870070787445,14.090571470325902,12.991142940651802,18.357487916757716,1.22,6.9,11.18,11.61424986815765
1900-01-01 13:32:41.553,321179,7.296640743198704,14.052728015473068,12.968974821655255,18.179459121239056,1.96,7.18,13.85,14.231250823451887
1900-01-01 13:32:41.654,321280,7.303666279582084,13.990911851395445,12.934325100255569,17.974437543304944,3.18,7.26,8.9,9.786419161266291
1900-01-01 13:32:41.756,321382,7.324222765142587,13.925817716013652,12.88693103706509,17.75006748289716,3.3,7.49,6.94,8.024319285771224
1900-01-01 13:32:41.858,321484,7.304832639893161,13.855651470159618,12.828301890967975,17.513296247792947,2.86,8.36,6.94,7.643088381014576
1900-01-01 13:32:41.961,321586,7.267730851314688,13.793884944799329,12.760994991704152,17.30837737427513,1.14,6.55,-0.39,3.4661506026137996
1900-01-01 13:32:42.063,321688,7.238622436875364,13.771533924322226,12.701567945035805,17.13390900228783,1.96,10.79,-1.41,2.6095593497753593
1900-01-01 13:32:42.165,321791,7.239401046910267,13.731777139848708,12.630753308432523,17.004827078080666,2.0,12.91,2.08,4.242463906740987
1900-01-01 13:32:42.268,321894,7.255112785024143,13.690638013533293,12.56577559740873,16.91662771298588,4.71,8.98,-1.02,4.888445560707412
1900-01-01 13:32:42.370,321995,7.292779499986715,13.655844178127237,12.49953815314677,16.83149552669324,-2.75,11.85,1.65,3.8062448686336503
1900-01-01 13:32:42.472,322098,7.396219353622657,13.630172743474763,12.443494343700197,16.764100432817365,-0.75,6.47,0.2,3.4192689277095485
1900-01-01 13:32:42.575,322200,7.51820877101132,13.60566385087497,12.397092352773473,16.69273250897953,-2.35,10.55,0.39,2.4974186673443444
1900-01-01 13:32:42.677,322302,7.698044621713695,13.58294082374917,12.357240469157626,16.608186795069532,-1.1,12.4,-3.33,4.365650008876112
1900-01-01 13:32:42.779,322405,7.8815934163580454,13.565096001884626,12.327842149873346,16.530769666634043,1.65,14.0,2.39,5.106329405747341
1900-01-01 13:32:42.881,322507,8.03725496392477,13.563988965794191,12.325181768883878,16.445410307172068,1.49,10.08,0.51,1.5995624401691857
