timestamp,b1d_x,b2d_x,b3d_x,b4d_x,wearabletimestamp,b1d_y,b2d_y,b3d_y,b4d_y,xa,ya,za,ta,Error1,Error2,Error3,Error4
1900-01-01 16:31:06,10.0,10.0,41.23,41.23,,,,,,,,,,,,,
1900-01-01 16:31:14,11.18,11.18,36.4,36.4,,,,,,,,,,,,,
1900-01-01 16:31:21,14.14,14.14,31.62,31.62,,,,,,,,,,,,,
1900-01-01 16:31:30,18.03,18.03,26.93,26.93,,,,,,,,,,,,,
1900-01-01 16:31:37,22.36,22.36,22.36,22.36,,,,,,,,,,,,,
1900-01-01 16:31:45,26.93,26.93,18.03,18.03,,,,,,,,,,,,,
1900-01-01 16:31:52,31.62,31.62,14.14,14.14,,,,,,,,,,,,,
1900-01-01 16:31:58,36.4,36.4,11.18,11.18,,,,,,,,,,,,,
1900-01-01 16:32:06,41.23,41.23,10.0,10.0,,,,,,,,,,,,,
1900-01-01 16:32:14,36.4,36.4,11.18,11.18,,,,,,,,,,,,,
1900-01-01 16:32:21,31.62,31.62,14.14,14.14,,,,,,,,,,,,,
1900-01-01 16:32:28,26.93,26.93,18.03,18.03,,,,,,,,,,,,,
1900-01-01 16:32:35,22.36,22.36,22.36,22.36,,,,,,,,,,,,,
1900-01-01 16:32:44,25.0,20.62,20.62,25.0,,,,,,,,,,,,,
1900-01-01 16:32:52,21.21,15.81,15.81,21.21,,,,,,,,,,,,,
1900-01-01 16:33:00,18.03,18.03,26.93,26.93,,,,,,,,,,,,,
1900-01-01 16:33:07,15.81,21.21,21.21,15.81,,,,,,,,,,,,,
1900-01-01 16:33:15,20.62,25.0,25.0,20.62,,,,,,,,,,,,,
1900-01-01 16:33:24,22.36,22.36,22.36,22.36,,,,,,,,,,,,,
1900-01-01 16:33:33,18.03,18.03,26.93,26.93,,,,,,,,,,,,,
1900-01-01 16:33:41,14.14,14.14,31.62,31.62,,,,,,,,,,,,,
1900-01-01 16:33:48,11.18,11.18,36.4,36.4,,,,,,,,,,,,,
1900-01-01 16:33:55,10.0,10.0,41.23,41.23,,,,,,,,,,,,,
