timestamp,distance,rtt,rssi
10:29:56.196,28.05,187.0,-66.0
10:29:56.505,28.35,189.0,-66.0
10:29:56.824,27.9,186.0,-66.0
10:29:57.617,29.55,197.0,-66.0
10:29:57.938,29.4,196.0,-66.0
10:29:58.259,30.0,200.0,-67.0
10:29:58.553,30.0,200.0,-67.0
10:29:59.371,29.25,195.0,-67.0
10:29:59.676,28.65,191.0,-67.0
10:29:59.986,28.65,191.0,-67.0
10:30:00.310,31.5,210.0,-67.0
10:30:00.586,33.75,225.0,-68.0
10:30:01.217,31.95,213.0,-68.0
10:30:01.217,31.35,209.0,-68.0
10:30:01.520,31.2,208.0,-68.0
10:30:01.830,30.3,202.0,-68.0
10:30:02.138,29.25,195.0,-68.0
10:30:02.960,27.3,182.0,-66.0
10:30:03.779,26.1,174.0,-65.0
10:30:04.079,25.95,173.0,-65.0
10:30:04.392,25.95,173.0,-65.0
10:30:05.196,26.4,176.0,-64.0
10:30:05.516,27.75,185.0,-64.0
10:30:06.337,27.9,186.0,-62.0
10:30:06.639,48.75,325.0,-62.0
10:30:06.936,82.2,548.0,-62.0
10:30:07.256,56.55,377.0,-73.0
10:30:07.551,31.95,213.0,-73.0
10:30:07.868,24.3,162.0,-73.0
10:30:08.164,24.3,162.0,-73.0
10:30:08.477,23.7,158.0,-60.0
10:30:08.784,26.55,177.0,-60.0
10:30:09.090,25.05,167.0,-60.0
10:30:09.405,24.15,161.0,-60.0
10:30:09.700,23.7,158.0,-60.0
10:30:10.026,26.85,179.0,-60.0
10:30:10.842,27.6,184.0,-62.0
10:30:11.148,27.15,181.0,-62.0
10:30:11.458,25.35,169.0,-62.0
10:30:11.759,30.3,202.0,-95.0
10:30:12.069,31.95,213.0,-95.0
10:30:12.387,29.1,194.0,-95.0
10:30:13.206,23.1,154.0,-62.0
10:30:14.023,24.0,160.0,-63.0
10:30:14.325,23.7,158.0,-63.0
10:30:14.630,24.0,160.0,-63.0
10:30:14.938,24.45,163.0,-63.0
10:30:15.253,25.2,168.0,-65.0
10:30:15.544,27.9,186.0,-65.0
10:30:15.861,29.1,194.0,-65.0
10:30:16.167,28.2,188.0,-67.0
10:30:16.467,28.2,188.0,-67.0
10:30:16.766,27.3,182.0,-67.0
10:30:17.081,26.7,178.0,-67.0
10:30:17.394,26.55,177.0,-67.0
10:30:17.706,26.7,178.0,-67.0
10:30:18.317,27.15,181.0,-67.0
10:30:18.318,25.65,171.0,-67.0
10:30:18.620,24.45,163.0,-65.0
10:30:18.931,35.1,234.0,-65.0
10:30:19.229,45.15,301.0,-65.0
10:30:19.544,31.65,211.0,-66.0
10:30:19.853,30.3,202.0,-66.0
10:30:20.169,29.55,197.0,-66.0
10:30:20.465,27.0,180.0,-66.0
10:30:20.783,29.1,194.0,-64.0
10:30:21.078,30.75,205.0,-64.0
10:30:21.383,38.1,254.0,-64.0
10:30:21.695,34.35,229.0,-64.0
10:30:22.000,27.15,181.0,-66.0
10:30:22.297,27.3,182.0,-66.0
10:30:22.604,27.75,185.0,-66.0
10:30:22.931,48.3,322.0,-74.0
10:30:23.743,26.4,176.0,-74.0
10:30:24.052,24.6,164.0,-62.0
10:30:24.366,24.75,165.0,-62.0
10:30:24.662,25.35,169.0,-62.0
10:30:24.974,28.35,189.0,-62.0
10:30:25.285,28.8,192.0,-64.0
10:30:26.096,37.05,247.0,-64.0
10:30:26.406,39.45,263.0,-68.0
