timestamp,wearabletimestamp,b1d,b2d,b3d,b4d,xa,ya,za
22:01:49.552,937015,15.290000,19.750000,35.620000,27.920000,7.760000,5.960000,3.130000
22:01:49.552,937015,15.290000,19.750000,35.620000,27.920000,7.760000,5.960000,3.130000
22:01:49.552,937117,15.900000,20.110000,35.620000,21.020000,7.370000,7.490000,4.190000
22:01:49.560,937117,15.900000,20.110000,35.620000,21.020000,7.370000,7.490000,4.190000
22:01:49.610,937219,15.600000,20.210000,35.620000,20.860000,8.040000,4.980000,4.660000
22:01:49.660,937219,15.600000,20.210000,35.620000,20.860000,8.040000,4.980000,4.660000
22:01:49.710,937321,15.600000,20.210000,35.620000,20.860000,8.190000,3.130000,4.470000
22:01:49.760,937321,15.600000,20.210000,35.620000,20.860000,8.190000,3.130000,4.470000
22:01:49.810,937423,15.590000,20.370000,35.620000,20.730000,9.330000,5.020000,4.580000
22:01:49.860,937423,15.590000,20.370000,35.620000,20.730000,9.330000,5.020000,4.580000
22:01:49.910,937423,15.590000,20.370000,35.620000,20.730000,9.330000,5.020000,4.580000
22:01:49.960,937525,15.680000,20.430000,35.620000,20.650000,10.150000,7.760000,5.410000
22:01:50.011,937525,15.680000,20.430000,35.620000,20.650000,10.150000,7.760000,5.410000
22:01:50.061,937627,15.680000,20.510000,35.620000,20.650000,12.120000,1.370000,4.580000
22:01:50.112,937627,15.680000,20.510000,35.620000,20.650000,12.120000,1.370000,4.580000
22:01:50.162,937729,15.900000,20.510000,35.620000,20.530000,7.410000,-3.170000,7.130000
22:01:50.213,937729,15.900000,20.510000,35.620000,20.530000,7.410000,-3.170000,7.130000
22:01:50.264,937831,15.490000,20.770000,35.620000,21.520000,6.040000,-4.780000,9.290000
22:01:50.313,937831,15.490000,20.770000,35.620000,21.520000,6.040000,-4.780000,9.290000
22:01:50.363,937933,15.580000,20.840000,35.620000,20.290000,6.000000,-1.920000,9.530000
22:01:50.413,937933,15.580000,20.840000,35.620000,20.290000,6.000000,-1.920000,9.530000
22:01:50.463,938035,15.580000,20.840000,35.620000,20.290000,6.430000,-1.600000,9.250000
22:01:50.514,938035,15.580000,20.840000,35.620000,20.290000,6.430000,-1.600000,9.250000
22:01:50.564,938137,15.540000,20.890000,35.620000,20.370000,8.230000,-0.900000,9.250000
22:01:50.615,938137,15.540000,20.890000,35.620000,20.370000,8.230000,-0.900000,9.250000
22:01:50.665,938239,15.480000,20.890000,35.620000,20.400000,5.600000,1.760000,10.270000
22:01:50.716,938239,15.480000,20.890000,35.620000,20.400000,5.600000,1.760000,10.270000
22:01:50.766,938341,15.480000,20.850000,35.620000,20.400000,3.720000,2.660000,11.100000
22:01:50.817,938341,15.480000,20.850000,35.620000,20.400000,3.720000,2.660000,11.100000
22:01:50.867,938443,15.480000,20.850000,35.620000,20.480000,4.430000,2.860000,10.150000
22:01:50.918,938443,15.480000,20.850000,35.620000,20.480000,4.430000,2.860000,10.150000
22:01:50.968,938545,15.500000,20.800000,35.620000,20.560000,4.620000,2.740000,10.270000
22:01:51.019,938545,15.500000,20.800000,35.620000,20.560000,4.620000,2.740000,10.270000
22:01:51.069,938647,15.450000,20.780000,35.620000,20.560000,4.310000,3.050000,10.190000
22:01:51.120,938647,15.450000,20.780000,35.620000,20.560000,4.310000,3.050000,10.190000
22:01:51.170,938749,15.450000,20.780000,35.620000,20.460000,4.000000,3.840000,10.660000
